Plot,FT,Direction,PME,TotalRootBiomass,PercentNecro,SRL,SRA,D,RTD,Tips,rN,rC,rC_percent,rN_percent,rAl,rCa,rFe,rK,rMg,rP,BA,BA_ECM,rC_N,rN_P,rC_P
CN2,Early secondary,C,19.8106060606061,3.522,0.125780806360023,26.8542568965517,254.817873563218,0.3325,0.393613990098657,2.81772770524708,10,422.8,42.28,1,9.216,5.4792,4.0068,1.5348,1.0656,0.2736,19.2425051432108,0,49.285595337219,80.8531746031746,3984.89684522157
CN2,Early secondary,NW,23.0113636363636,2.025,0.177283950617284,28.4586707175926,255.628240740741,0.31625,0.384818610105473,2.70653773703555,8.5,443.4,44.34,0.85,8.1804,4.842,2.8068,0.1548,1.1556,0.2772,19.2425051432108,0,60.8081500710193,67.8326633683776,4124.77877382124
CN2,Early secondary,NE,10.7111436950147,5.231,0.224240107054101,23.8337400744417,254.57841191067,0.38345,0.335266926493248,2.98622160740751,10.6,427.8,42.78,1.06,14.0928,5.3964,7.1316,1.9176,1.4376,0.336,19.2425051432108,0,47.0457009096193,69.7878401360543,3283.21785416914
CN2,Early secondary,SW,16.1857707509881,1.547,0.134453781512605,19.4717826086957,277.967391304348,0.4795,0.264863123224898,1.9201923485,15,443.1,44.31,1.5,8.9064,4.3776,4.0812,1.5876,1.0572,0.3348,19.2425051432108,0,34.4346378018318,99.1103430619558,3412.82876575374
CN2,Early secondary,SE,69.5017482517482,3.125,0.4144,35.2512377622378,367.911713286713,0.3561,0.276478405315615,1.98174581903867,9.3,415.8,41.58,0.93,12.8435643564356,6.53346534653465,2.24910891089109,0.177029702970297,0.856633663366337,0.387326732673267,19.2425051432108,0,52.1178587736026,53.1151785714284,2768.24937552039
W38,Early secondary,C,102.056711695266,3.244,0.102034525277435,31.6346881481481,310.211851851852,0.3405,0.309808280077799,2.70353084444355,20.8,470.3,47.03,2.08,6.18917647058824,3.864,2.51858823529412,2.51152941176471,2.14588235294118,0.369882352941176,20.981263975,0,26.357042208416,124.397855325336,3278.75952344632
W38,Early secondary,NW,108.671841516263,1.113,0.387241689128482,53.3159209486166,431.628063241107,0.28325,0.277153717241882,2.37226929151413,18.3,450.3,45.03,1.83,9.4815,3.2265,2.778,1.9425,2.28,0.402,20.981263975,0,28.6837471505985,100.702025586354,2888.51143947209
W38,Early secondary,NE,96.8331825325016,4.417,0.240887480190174,14.8671055900621,254.141718426501,0.5752,0.254231755219076,1.99620565822361,16.7,442.9,44.29,1.67,8.6136,4.6992,4.3128,3.7356,1.3752,0.4332,20.981263975,0,30.9153549686639,85.2788220551376,2636.4250551441
W38,Early secondary,SW,84.433734939759,3.821,0.358283171944517,16.2755258333333,242.621166666667,0.49245,0.291176512123823,2.2118843901664,15.5,423,42.3,1.55,10.0488,3.684,5.1012,3.6972,1.788,0.3264,20.981263975,0,31.8121995111599,105.049676120449,3341.86125532645
W38,Early secondary,SE,81.889942213997,2.837,0.126894606979203,33.2488453663793,283.783351293103,0.2985,0.404096912889583,2.74835468259833,15.3,452.4,45.24,1.53,7.05,6.6984,3.63,3.1488,1.4532,0.3492,20.981263975,0,34.4680086855725,96.9237849779089,3340.76986245713
W45,Early secondary,C,88.4805057955743,5.462,0.0289271329183449,25.77282,297.474,0.40105,0.281799707880866,2.68399960743954,17.7,455.4,45.54,1.77,4.614,4.8024,2.34,1.2132,1.8048,0.3768,21.8104481,0,29.9919558559958,103.914353958143,3116.59471671695
